id_produto,nome,tamanho,preco_varejo,preco_atacado,last_sync,dif_invertida
16971464,SHORT SAIA,GG,21.53,31.5,2026-03-08T22:01:50.954448+00:00,9.97
8060516,LEGGING PROMOÇÃO,P,11.24,21.0,2026-03-08T22:02:19.054394+00:00,9.76
41377105,BIQUINI BOJO ADULTO,M,18.8,28.0,2026-03-08T22:00:58.860752+00:00,9.2
17066385,SUNGA INFANTIL ELLYS,P,12.08,21.0,2026-01-24T15:16:08.497292+00:00,8.92
17066385,SUNGA INFANTIL ELLYS,M,12.08,21.0,2026-01-24T15:16:08.578134+00:00,8.92
17066385,SUNGA INFANTIL ELLYS,G,12.08,21.0,2026-01-24T15:16:08.650148+00:00,8.92
17066385,SUNGA INFANTIL ELLYS,GG,12.08,21.0,2026-01-24T15:16:08.719102+00:00,8.92
30638419,CONJUNTO AMEVEST REF 4017,P,19.22,28.0,2026-03-08T22:01:33.471974+00:00,8.78
8290049,BLUSA COTTON,P,9.14,17.5,2026-03-08T22:02:08.380088+00:00,8.36
8290049,BLUSA COTTON,M,9.14,17.5,2026-03-08T22:02:08.380088+00:00,8.36
29900517,SUTIÃ ANITA,G,13.49,21.0,2026-03-08T22:01:33.471974+00:00,7.51
8496805,BIQUINI FIO ROBERMAM,P,10.71,17.5,2026-03-08T22:02:08.380088+00:00,6.79
8060689,CAMISETA GATA CHARMOSA,P,14.49,21.0,2026-03-08T22:02:08.380088+00:00,6.51
34966258,TANGA AGS REF0082,M,5.57,10.5,2026-03-15T17:55:55.119553+00:00,4.93
8496693,TOP VAL,M,9.45,14.0,2026-03-08T22:02:08.380088+00:00,4.55
8060614,CALCINHA COTTON 2 LAÇOS,M,5.0,7.0,2026-05-07T01:46:50.722086+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,GG,5.0,7.0,2026-03-15T15:35:56.311406+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,GG,5.0,7.0,2026-03-14T21:31:12.564516+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,P,5.0,7.0,2026-03-08T22:02:19.054394+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,P,5.0,7.0,2026-03-14T21:31:12.564516+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,G,5.0,7.0,2026-03-08T22:02:19.054394+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,G,5.0,7.0,2026-03-15T15:35:56.311406+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,P,5.0,7.0,2026-03-15T15:35:56.311406+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,M,5.0,7.0,2026-03-08T22:02:19.054394+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,G,5.0,7.0,2026-05-07T01:47:18.315435+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,M,5.0,7.0,2026-05-07T01:47:18.315435+00:00,2.0
8060614,CALCINHA COTTON 2 LAÇOS,GG,5.0,7.0,2026-03-08T22:02:19.054394+00:00,2.0
8114113,CALCINHA INFANTIL MALHA,P,4.0,5.0,2026-03-15T15:25:56.859951+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,G,4.0,5.0,2026-03-15T15:25:56.859951+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,P,4.0,5.0,2026-04-03T17:57:43.140644+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,M,4.0,5.0,2026-03-08T22:02:08.380088+00:00,1.0
8114113,CALCINHA INFANTIL MALHA,G,4.0,5.0,2026-03-14T21:11:14.763197+00:00,1.0
